question,answer
"What is a credit card issuer?","The issuer is the financial institution that extends credit to you and manages your account."
"What is pre-qualification?","Pre-qualification gives you an estimate of approval odds using a soft inquiry."
"What is pre-approval?","Pre-approval is a stronger indication using slightly deeper checks but still usually uses a soft pull."
"What is credit card churning?","Churning means applying for many cards to earn signup bonuses, which can hurt your score if not done carefully."
"What is a credit card closing?","Closing a credit card means permanently stopping the account, which may reduce your utilization and credit age."
"Should I close old credit cards?","Generally no—keeping old accounts helps your credit age and available credit."
"What is a secured deposit?","It's the money you provide to open a secured credit card, acting as collateral."
"Can a secured card become unsecured?","Yes—many issuers upgrade secured cards after consistent on-time payments."
"What is a credit card statement?","A statement summarizes your account activity, balance, fees, and payments for a given cycle."
"What is revolving credit?","Revolving credit allows you to borrow, repay, and borrow again up to a limit."
"What is the difference between credit and debit cards?","Credit cards borrow money from the issuer; debit cards withdraw money from your bank account."
"What is an authorized user?","An authorized user is someone allowed to use your card and can benefit from your credit history."
"Does adding an authorized user help them build credit?","Yes—if the issuer reports authorized users to credit bureaus."
"What is a joint credit card?","A joint card is shared by two people who are both responsible for payments."
"What is a credit freeze?","A credit freeze blocks new credit from being opened without your permission, protecting you from identity theft."
"What is a fraud alert?","A fraud alert notifies lenders to take extra steps to verify your identity before opening accounts."
"What is a charge card?","A charge card requires full payment each billing cycle and usually has no preset limit."
"What is a credit line increase?","It's when your issuer raises your credit limit, improving your utilization if used responsibly."
"How do I get a credit line increase?","Use your card responsibly, make on-time payments, and keep utilization low."
"What is credit card utilization ratio?","It's your balance divided by your credit limit, expressed as a percentage."
"What is credit card interest?","Interest is the cost of borrowing money when you don't pay your balance in full."
"What is a cash advance?","A cash advance lets you withdraw cash using your credit card but usually carries high fees and APR."
"What is cash advance APR?","This APR is typically higher than purchase APR and starts immediately with no grace period."
"What is a cash advance fee?","A fee—often 3–5%—charged when accessing cash through your credit card."
"What is credit insurance?","Credit insurance pays your card balance in case of certain hardships, but it's often expensive and optional."
"What is a digital wallet?","Digital wallets like Apple Pay and Google Pay let you make payments using stored card information securely."
"What is a virtual card number?","A virtual card provides a temporary card number for safer online purchases."
"What is a credit card issuer's underwriting process?","Underwriting is how a bank evaluates your creditworthiness before approving a card."
"What is a credit bureau?","Credit bureaus like Experian, Equifax, and TransUnion collect and maintain credit data."
"What is a credit report?","A credit report summarizes your credit accounts, payment history, and inquiries."
"What should I check on my credit report?","Look for errors, unfamiliar accounts, incorrect balances, and fraud."
"What is credit card utilization?","It's how much of your available credit you're using at any given time."
"What is revolving utilization?","Revolving utilization measures the percentage of credit used on accounts like credit cards."
"What is installment credit?","Installment credit includes loans with fixed payments, such as auto or student loans."
"What is adverse action?","Adverse action is when a lender denies credit or reduces your limit based on your credit profile."
"What is a retention offer?","A retention offer is an incentive the issuer gives you to keep your card after you request to cancel."
"What is a statement credit?","A statement credit reduces the amount you owe on your billing statement."
"What is a merchant category code (MCC)?","An MCC is a four-digit code defining the type of business, which affects rewards categories."
"What is a 5% rotating category card?","These cards offer 5% cash back on changing categories each quarter, like groceries or gas."
"What is a flat-rate cash-back card?","A flat-rate card gives the same percentage back on all purchases."
"What is a credit card upgrade?","An upgrade moves you to a better version of your card with improved rewards or perks."
"What is a downgrade?","A downgrade switches you to a card with fewer benefits, usually to avoid an annual fee."
"What is credit card expiration?","Your card has an expiration date; the issuer will mail a replacement before it expires."
"What is a CVV?","The CVV is a security code on your card used to prevent fraud during online purchases."
"What is a billing cycle?","A billing cycle is typically 28–31 days and tracks your purchases, fees, and payments."
"What is a payment allocation?","It’s how your issuer applies your payments to balances with different APRs."
"What is residual interest?","Residual interest is interest that accrues between your statement closing date and the day your payment is received."
"What is credit card refinancing?","Refinancing means transferring balances to a lower-APR card or loan to reduce interest costs."
"What is a credit card hardship program?","These programs temporarily reduce interest or payments for customers experiencing financial stress."
"What is a premium credit card?","Premium cards offer travel perks, lounge access, and high rewards but usually charge annual fees."
"What is a travel credit card?","A travel card earns points or miles for flights, hotels, and other travel purchases."
"What is an airline credit card?","Airline cards offer perks like free checked bags, priority boarding, and mileage-earning bonuses."
"What is a hotel credit card?","Hotel cards offer free nights, elite status, and bonus points at partner brands."
"What is a cash-back credit card?","A cash-back card returns a percentage of your spending as cash or statement credit."
"What is purchase protection?","Purchase protection covers damage or theft of eligible items shortly after you buy them."
"What is extended warranty?","Extended warranty extends the manufacturer’s warranty on eligible items purchased with your card."
"What is price protection?","Price protection refunds the difference if an item you purchased drops in price soon after."
"What is return protection?","Return protection allows you to return eligible items even when the retailer doesn’t accept returns."
"What is trip cancellation insurance?","This insurance reimburses prepaid travel expenses if you cancel for covered reasons."
"What is trip delay insurance?","Trip delay insurance reimburses you for food or lodging if your flight is delayed for a specified number of hours."
"What is rental car insurance?","Rental insurance covers damage or theft of rental vehicles when you pay with your card."
"What is cellphone protection?","Some cards offer cellphone insurance if you pay your cellphone bill with the card."
"What is lounge access?","Lounge access allows you to enter airport lounges for relaxation, food, and drinks while traveling."
"What is global entry credit?","Some travel cards reimburse your Global Entry or TSA PreCheck application fee."
"What is TSA PreCheck credit?","Cards offering this perk reimburse your TSA PreCheck enrollment fee."
"What is lost luggage insurance?","Lost luggage insurance reimburses you for lost or damaged checked bags."
"What is purchase APR?","Purchase APR is the interest rate charged on card purchases you carry month to month."
"What is penalty APR?","A penalty APR is a higher interest rate triggered by major issues like late payments."
"What is a foreign transaction fee?","A foreign transaction fee is charged for purchases made in foreign currencies or processed internationally."
"What is a credit card hold?","A hold temporarily reserves part of your credit limit, common at hotels and rental car agencies."
"What is a merchant dispute?","A dispute is when you challenge a charge due to fraud or merchant error."
"What is credit stacking?","Credit stacking refers to obtaining multiple credit lines to build purchasing power or rewards."
"What is a balance refund?","A balance refund occurs when your account has a negative balance, and the issuer sends you the excess funds."
"What is a credit card grace period?","A grace period is the time during which you won’t pay interest if you pay your statement balance in full."
"What is compounding interest on credit cards?","Credit card interest compounds daily, meaning interest accrues on previous interest."
"What is the difference between statement balance and current balance?","Statement balance is calculated at cycle end; current balance includes recent transactions."
"What is a card issuer?","A card issuer is the bank that manages your account, sets limits, and charges interest."
"What is utilization percentage?","Utilization percentage shows how much of your credit line you're using and affects your score."
"What is a credit card APR?","APR is the annual cost of carrying a credit card balance if you don’t pay in full."
"What is a promotional APR?","A promotional APR is a reduced interest rate offered temporarily for purchases or balance transfers."
"What happens if you exceed your credit limit?","Your purchase may be declined or incur an over-limit fee depending on your issuer."
"What is an over-limit fee?","Some issuers charge a fee when you go beyond your credit limit, but these fees are less common today."
"What is automatic credit line increase?","Issuers may automatically raise your limit based on strong payment history and usage."
"What is credit exposure?","Credit exposure is how much money the lender has at risk based on your outstanding balance."
"What is a fintech credit card?","Fintech cards are modern digital-first cards often paired with budgeting tools or instant approval systems."
"What is a student credit card?","Student cards are designed for people with limited credit history and often simpler approval criteria."
"What is a subprime credit card?","Subprime cards target borrowers with poor credit and often include high fees and low limits."
"What is a prime credit card?","Prime cards are for borrowers with strong credit and often include good terms and rewards."
"What is a high-limit credit card?","High-limit cards offer large credit lines to borrowers with excellent credit and income."
"What determines my credit limit?","Your income, credit score, debt levels, and credit history help determine your limit."
"What is credit card re-aging?","Re-aging restores a delinquent account to current status after meeting certain repayment agreements."
"What is universal default?","Universal default was when a late payment to any lender increased your APR, but it is no longer allowed under modern rules."
"What is account monitoring?","Issuers monitor accounts for suspicious activity and spending patterns to prevent fraud."
"What is tokenization?","Tokenization replaces card numbers with temporary tokens for secure digital payments."
"What is chip-and-PIN?","Chip-and-PIN cards require a personal identification number for added security."
"What is chip-and-signature?","Chip-and-signature cards require a signature instead of a PIN during transactions."
"What is an online-only credit card?","These cards are issued and managed entirely online with no physical branch access."
"What is an instant-use credit card?","An instant-use card provides a temporary number you can use immediately after approval."
"What is an autopay discount?","Some issuers offer reduced APR if you enroll in automatic monthly payments."
"What is a hardship repayment plan?","Issuers offer hardship plans to reduce payments or interest temporarily during financial difficulty."
"What is a credit card grace period extension?","Some issuers extend your grace period as a courtesy for long-term customers."
"What is a soft-pull preapproval?","Soft-pull preapprovals estimate approval odds without impacting your credit score."
"What is credit card underwriting?","Underwriting is the lender’s process of assessing risk based on your credit report and financial history."
"What is a purchase hold?","A purchase hold temporarily reduces available credit until the transaction posts."
"What is a merchant hold?","A merchant hold is similar but typically occurs at gas stations, hotels, or rental businesses."
"What is credit card batching?","Batching occurs when merchants submit transactions in groups, affecting how charges post."
"What is statement posting?","Posting refers to when transactions are officially recorded in your account activity."
"What is a secured credit line?","A secured credit line is a credit limit backed by a deposit."
"What is an unsecured credit line?","An unsecured credit line relies on your credit history with no deposit required."
"What is interest-free financing?","Interest-free financing allows you to pay over time without interest, often for large purchases."
"What is deferred interest?","Deferred interest charges retroactive interest if you don’t pay the full balance before the promotional period ends."
"What is account closure due to inactivity?","Issuers may close unused accounts, reducing your available credit and possibly affecting your score."
"What is a credit card issuer agreement?","It's the contract outlining terms, fees, and responsibilities for using the card."
"What is a joint applicant?","A joint applicant shares equal responsibility for the account and payments."
"What is a credit card default?","Default occurs when you stop making payments for an extended period, severely damaging your credit."
"What is a charge-off?","A charge-off happens when the issuer writes off your debt as unlikely to be collected but you still owe it."
"What is debt settlement?","Debt settlement is when a lender agrees to accept less than the full balance as payment."
"What is a credit card billing dispute?","A billing dispute challenges a transaction due to error, fraud, or poor merchant service."
"What is a credit card closure?","Account closure ends your agreement with the issuer and may impact your credit score."
"What is a credit utilization spike?","A spike occurs when you suddenly use a large portion of your limit, possibly reducing your score temporarily."
"What is spend-based status?","Some cards grant additional perks when you meet annual spending thresholds."
"What is a blackout date?","Blackout dates restrict travel reward redemptions during peak periods."
"What is redemption value?","Redemption value is how much your points or miles are worth when you use them."
"What is a travel partner transfer?","Some reward programs let you transfer points to airline or hotel loyalty programs."
"What is points devaluation?","Devaluation occurs when reward programs reduce the value of points or miles."
"What is credit pooling?","Credit pooling allows multiple family members to combine points or manage rewards."
"What is category bonus spending?","Some cards earn higher rewards for categories like dining, groceries, or gas."
"What is a merchant bonus category?","A merchant bonus category gives extra rewards based on merchant type, like restaurants or travel."
"What is intro bonus spend?","It’s the minimum required spending to receive a signup bonus."
"What is redemption minimum?","Some cards require a minimum number of points or cash-back before redeeming."
"What is a statement cut date?","This is when your billing cycle ends and your balance is reported to credit bureaus."
"What is credit reporting frequency?","Most issuers report monthly, but some report less frequently depending on the account."
